data,produto,categoria,variacao,quantidade,preco_unitario,receita,canal
2026-06-02,Vela Lavanda,Vela,200g,14,42.00,588.00,Instagram
2026-06-03,Vela Baunilha,Vela,200g,9,42.00,378.00,Instagram
2026-06-04,Difusor Vidro Fosco,Difusor,100ml,4,68.00,272.00,Shopify
2026-06-05,Vela Lavanda,Vela,100g,11,28.00,308.00,Instagram
2026-06-06,Sabonete Kit 3,Sabonete,Kit de 3,3,54.00,162.00,Mercado Livre
2026-06-08,Vela Capim-Limão,Vela,200g,6,42.00,252.00,Instagram
2026-06-09,Vela Lavanda,Vela,400g,7,68.00,476.00,Shopify
2026-06-10,Difusor Âmbar,Difusor,100ml,2,72.00,144.00,Shopify
2026-06-11,Vela Cedro,Vela,100g,5,28.00,140.00,Instagram
2026-06-12,Sabonete Barra Única,Sabonete,Barra única,8,19.00,152.00,Instagram
2026-06-13,Vela Lavanda,Vela,200g,16,42.00,672.00,Instagram
2026-06-15,Vela Baunilha,Vela,100g,7,28.00,196.00,Instagram
2026-06-16,Difusor Vidro Fosco,Difusor,100ml,3,68.00,204.00,Mercado Livre
2026-06-17,Vela Lavanda,Vela,200g,12,42.00,504.00,Instagram
2026-06-18,Vela Capim-Limão,Vela,100g,4,28.00,112.00,Instagram
2026-06-19,Sabonete Kit 3,Sabonete,Kit de 3,2,54.00,108.00,Shopify
2026-06-20,Vela Cedro,Vela,200g,3,42.00,126.00,Instagram
2026-06-22,Vela Lavanda,Vela,100g,10,28.00,280.00,Instagram
2026-06-23,Difusor Âmbar,Difusor,100ml,1,72.00,72.00,Instagram
2026-06-24,Vela Baunilha,Vela,200g,8,42.00,336.00,Instagram
2026-06-25,Vela Lavanda,Vela,400g,5,68.00,340.00,Shopify
2026-06-26,Sabonete Barra Única,Sabonete,Barra única,6,19.00,114.00,Instagram
2026-06-27,Vela Capim-Limão,Vela,200g,5,42.00,210.00,Instagram
2026-06-29,Vela Lavanda,Vela,200g,13,42.00,546.00,Instagram
2026-06-30,Difusor Vidro Fosco,Difusor,100ml,2,68.00,136.00,Mercado Livre
